,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
425,92.45,59.725,9.65,0.00014488,,,,,,,,,
426,115.7,69.48,9.66,0.00014787,,,,,,,,,
427,91.25,64.342,9.67,0.00016428,,,,,,,,,
428,83.91,61.375,9.69,0.00016434,,,,,,,,,
429,79.73,61.24,9.7,0.00020935,,,,,,,,,
430,55.03,58.065,9.71,0.00020992,,,,,,,,,
431,48.86,51.47,9.71,0.00021833,,,,,,,,,
432,44.9,45.97,9.71,0.00021851,,,,,,,,,
433,38.53,45.969,9.71,0.00022266,,,,,,,,,
434,37.88,45.969,9.73,0.00022729,,,,,,,,,
435,36.61,45.966,9.74,0.00023866,,,,,,,,,
436,36.32,42.357,9.75,0.00023956,,,,,,,,,
437,36.45,43.98,9.75,0.00024228,,,,,,,,,
438,38.67,47.837,9.77,0.00024285,,,,,,,,,
439,50.04,60.952,9.77,0.00025507,,,,,,,,,
440,82.9,62.754,9.77,0.00025797,,,,,,,,,
441,89.95,64.342,9.79,0.00026901,,,,,,,,,
442,82.14,64.339,9.82,0.00027468,,,,,,,,,
443,80,62.972,9.83,0.00027745,,,,,,,,,
444,79.92,62.971,9.83,0.00031498,,,,,,,,,
445,79.97,61.334,9.83,0.00034956,,,,,,,,,
446,79.92,58.061,9.84,0.00037965,,,,,,,,,
447,73.95,62.971,9.84,0.00038884,,,,,,,,,
448,73.91,62.971,9.85,0.00040946,,,,,,,,,
449,74.62,57.679,9.85,0.00042289,,,,,,,,,
450,100.1,62.972,9.86,0.00042659,,,,,,,,,
451,114.92,62.971,9.86,0.00045008,,,,,,,,,
452,90.75,51.47,9.87,0.00049403,,,,,,,,,
